country,city,university,program,level,duration_years,tuition_usd,living_cost_index,rent_usd,visa_fee_usd,insurance_usd,exchange_rate,rank,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,index,no_of_indian_students,percentage,unnamed:_3,rank_2025,rank_2024,location,region,size,focus,res.,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score,total_cost,roi_score,roi_norm,acad_norm,cost_norm,university_rating,latitude,longitude
USA,Cambridge,Harvard University,Computer Science,Master,2.0,55400,83.5,2200,160,1500,1.0,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,4.0,4,United States,Americas,L,FC,VH,B,100.0,1,100.0,1,96.3,53,100.0,1,74.1,269,69.0,215,99.6,5,100.0,1,84.4,130,96.8,116860,0.085571748,0.061200197,1.0,0.600013691,5,42.3657432,-71.1222139
UK,London,Imperial College London,Data Science,Master,1.0,41200,75.8,1800,485,800,0.79,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,2.0,6,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100.0,66,99.6,44,97.4,34,93.4,61,99.7,6,98.5,44285,0.209847356,0.15008107,0.985,0.848422097,5,51.4989595,-0.1756407
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,38500,72.5,1600,235,900,1.35,12,64.8,33.2,49.6,71.2,61.7,103.7,2,50000,11.19076449,63.29585919,25.0,21,Canada,Americas,XL,FC,VH,A,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1,81335,0.117586677,0.084097006,0.997,0.721608023,5,43.6591168,-79.394512
Australia,Melbourne,University of Melbourne,Engineering,Master,2.0,42000,71.2,1400,450,650,1.52,10,70.2,33.4,52.5,77.3,62.5,127.4,1,66886,14.97010947,52.10509471,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,87900,0.011182751,0.00799781,0.347,0.699137459,1,-37.8241371,144.9170886
Germany,Munich,Technical University of Munich,Mechanical Engineering,Master,2.0,500,70.5,1100,75,550,0.92,21,62.2,24.4,44.0,60.8,52.8,120.2,19,1715,0.383843222,63.29585919,28.0,37,Germany,Europe,XL,FO,VH,A,83.0,61,98.6,17,76.8,155,75.9,133,80.4,236,98.6,64,95.6,68,34.5,365,93.1,70,83.2,3825,0.889100889,0.635877503,0.83,0.986907859,5,48.2654976,11.6692249
Japan,Tokyo,University of Tokyo,Information Science,Master,2.0,8900,76.4,1300,220,750,145.8,46,46.1,13.4,30.4,53.7,27.8,117.0,30,879,0.19673364,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,21370,0.045995742,0.032895769,0.347,0.926855148,1,35.7117157,139.7637457
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,Master,1.0,15800,73.2,1500,180,720,0.92,18,63.1,33.5,48.9,59.9,61.2,124.9,19,1715,0.383843222,63.29585919,55.0,53,Netherlands,Europe,XL,FC,VH,A,83.8,60,52.1,163,21.4,648,92.2,67,96.0,139,87.5,138,96.3,50,79.8,124,38.2,384=,73.7,18200,0.228425911,0.163368297,0.838,0.937705367,5,52.3681334,4.8898042
Singapore,Singapore,National University of Singapore,Finance,Master,1.5,35000,81.1,1900,90,800,1.34,4,76.7,67.2,72.1,74.6,50.4,111.1,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,56240,0.017477908,0.012500053,0.347,0.807502738,1,1.2962018,103.7768977
France,Paris,Sorbonne University,International Relations,Master,2.0,4500,74.6,1400,99,650,0.92,15,63.7,21.0,43.2,69.5,56.3,102.4,11,5000,1.119076449,63.29585919,63.0,59,France,Europe,XL,FC,VH,A,87.2,49,52.0,166,43.0,363,72.3,144,33.8,471,46.7,315,99.8,4,79.7,125,87.6,111,70.3,12549,0.330231076,0.236178497,0.872,0.957047508,5,48.8468997,2.3574487
Switzerland,Zurich,ETH Zurich,Physics,Master,2.0,1460,91.5,2100,88,1200,0.89,1,101.1,46.5,74.9,109.1,97.0,158.7,36,445,0.099597804,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,8408,0.116895588,0.083602745,0.347,0.971221249,1,47.413218,8.5374914
Sweden,Stockholm,KTH Royal Institute,Sustainable Technology,Master,2.0,0,71.8,1200,110,400,10.45,25,59.3,20.9,40.9,60.8,54.7,122.6,16,2340,0.523727778,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,2910,0.337676056,0.241503085,0.347,0.990039704,1,59.3498665,18.0706321
Denmark,Copenhagen,University of Copenhagen,Bioinformatics,Master,2.0,0,73.4,1300,120,450,6.92,7,72.3,26.4,50.2,64.8,81.3,127.2,42,274,0.061325389,63.29585919,100.0,107,Denmark,Europe,XL,FC,VH,A,74.0,83,31.6,299,99.8,27,23.1,519,84.9,221,15.6,613,98.2,22,90.8,72,73.2,198=,59.6,3170,0.904850205,0.647141283,0.74,0.989149781,5,55.6801502,12.572327
China,Beijing,Tsinghua University,Computer Engineering,Master,2.5,8900,52.3,800,140,400,7.18,85,31.7,12.3,22.4,36.8,20.6,73.3,6,16694,3.736372447,83.9784063,20.0,25,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95.0,62,99.1,26,18.1,623,13.4,654,79.2,337,92.3,68,40.4,363=,86.5,24790,0.363749345,0.260150482,0.992,0.915149233,5,40.0022905,116.320963
South Korea,Seoul,Seoul National University,Digital Media,Master,2.0,7200,68.7,900,130,500,1320.5,24,60.1,16.0,38.9,81.4,31.4,109.4,19,1715,0.383843222,63.29585919,31.0,41,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701+,16.9,586,73.2,435,100.0,4,96.0,46=,82.3,16830,0.585823778,0.418976256,0.985,0.942394578,5,37.4670085,126.949073
Ireland,Dublin,Trinity College Dublin,Data Analytics,Master,1.0,28900,72.9,1600,150,650,0.92,14,64.4,42.3,53.8,59.3,65.3,101.1,17,2096,0.469116847,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,31300,0.031403949,0.022459841,0.347,0.892866922,1,53.3438434,-6.2543853
South Korea,Busan,Pusan National University,Business,Bachelor,4.0,5900,62.4,700,130,500,1320.5,24,60.1,16.0,38.9,81.4,31.4,109.4,19,1715,0.383843222,63.29585919,524.0,611-620,South Korea,Asia,L,FC,VH,A,18.7,482,16.5,516,43.5,359,19.5,562,10.5,701+,13.7,646,57.7,657,13.8,700,65.0,241=,23.4,27030,0.008423662,0.006024532,0.187,0.907482202,1,35.2343498,129.0784068
New Zealand,Auckland,University of Auckland,Marine Biology,Bachelor,3.0,28500,69.8,1200,245,600,1.64,13,64.6,25.9,46.0,71.9,57.1,121.0,3,32000,7.162089271,70.45794846,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,89945,0.010928502,0.007815973,0.347,0.69213787,1,-36.8660955,174.7737331
Austria,Vienna,University of Vienna,Social Sciences,Bachelor,3.0,1500,67.4,950,160,500,0.92,11,65.1,22.5,44.7,66.4,59.3,102.4,41,300,0.067144587,63.29585919,137.0,130,Austria,Europe,XL,FC,VH,A,70.9,89,40.4,235,23.2,619,13.0,667,100.0,70,92.0,109,96.0,57,89.7,78,60.9,265,53.9,8010,0.452363001,0.323526227,0.709,0.972583516,4,48.2131469,16.35997
Belgium,Brussels,KU Leuven,Biomedical Sciences,Bachelor,3.0,3500,68.9,1000,180,550,0.92,23,61.1,20.1,41.4,57.5,66.0,109.8,33,600,0.134289174,63.29585919,63.0,61,Belgium,Europe,XL,FC,VH,A,84.6,55,49.6,181,7.1,701+,91.0,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,70.3,14230,0.262446771,0.187699731,0.846,0.951293812,5,50.8490457,4.3562292
USA,Ann Arbor,University of Michigan,Aerospace Engineering,Bachelor,4.0,52300,72.5,1800,160,1500,1.0,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,218060,0.004507798,0.00322394,0.347,0.253628149,1,42.2942142,-83.7100389
USA,Atlanta,Georgia Tech,Industrial Engineering,Bachelor,4.0,43800,71.5,1700,160,1500,1.0,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,183660,0.005352116,0.003827789,0.347,0.371371851,1,33.7760948,-84.3988077
USA,Austin,UT Austin,Chemical Engineering,Bachelor,4.0,40900,72.4,1600,160,1500,1.0,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,171660,0.005726257,0.004095371,0.347,0.412445235,1,30.2851494,-97.7339352
UK,Bristol,University of Bristol,Mathematics,Bachelor,3.0,31200,69.8,1100,485,800,0.79,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,54.0,55,United Kingdom,Europe,L,FC,VH,A,75.8,78,82.5,69,36.7,437,75.9,134,87.5,206,89.8,121,94.6,84,51.2,250,98.9,17,75.4,98185,0.04302039,0.030767822,0.758,0.663934146,5,51.5007679,-2.5503106
Canada,Ottawa,University of Ottawa,Political Science,Bachelor,4.0,28900,68.5,1300,235,900,1.35,12,64.8,33.2,49.6,71.2,61.7,103.7,2,50000,11.19076449,63.29585919,189.0,203,Canada,Americas,XL,FC,VH,A,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,47.3,121935,0.007605137,0.00543913,0.262,0.582643072,4,45.4225271,-75.6833904
Hong Kong,Hong Kong,HKUST,Finance,Bachelor,4.0,22000,78.6,1500,120,600,7.82,23,61.1,21.0,41.4,59.9,52.8,103.7,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,94720,0.010377583,0.00742196,0.347,0.675794085,1,22.3387418,114.2618713
Portugal,Lisbon,University of Lisbon,Architecture,Bachelor,3.0,3500,58.4,800,120,450,0.92,50,45.1,24.0,35.0,43.8,36.9,56.9,19,1715,0.383843222,63.29585919,,,,,,,,,34.7,,28.7,,28.6,,40.55,,77.3,,49.5,,85.2,,34.25,,71.8,,,13470,0.072969713,0.052187327,0.347,0.953895126,1,38.7525379,-9.1568456
